LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT_DEV,BILL_AMT1,BILL_AMT2,BILL_AMT3,PAY_AMT_DEV,PAY_AMT1,PAY_AMT2,PAY_AMT3
50000,2,3,2,22,0,0,0,0.025566535,44698,42254,38347,0.092645975,1767,1362,1002
60000,2,2,2,26,2,2,2,0.011720137,56685,55208,59175,0.332846234,0,5000,2511
70000,2,2,2,24,0,0,0,0.577350269,5580,0,0,0,0,0,0
80000,2,2,1,36,0,0,0,0.144280044,6108,2861,3277,0.026817748,2861,3279,3319
350000,1,1,2,52,0,0,0,0.242110136,713,2272,722,0.221732813,2272,722,867
130000,1,2,2,38,0,0,0,0.200128993,171438,178382,39940,0.513393303,10908,0,133657
360000,1,2,1,35,1,0,0,0,-103,-103,-103,0,0,0,0
330000,2,1,1,31,0,0,2,0.004883287,105879,108431,105594,0.363226461,9260,0,3593
50000,1,3,1,47,0,0,2,0.023459033,13244,14722,15181,0.144337567,2000,1000,1000
280000,1,2,1,41,2,2,2,0.004760139,135673,138532,134813,0.343846367,6500,0,14254
100000,2,1,2,24,0,0,0,0.00769788,52128,52692,54477,0.070160262,2000,2677,3076
50000,1,2,2,41,0,0,0,0.011145397,19015,19294,20259,0.107571404,1340,1305,700
30000,1,1,2,24,0,2,0,0.009335936,18199,17618,18631,0.34877597,0,1312,3000
240000,1,1,2,28,0,0,0,0,326,326,326,0.488120092,326,326,5676
80000,1,2,2,26,2,0,0,0.02825276,14029,15493,16630,0.109183009,2000,1700,1000
400000,1,2,1,34,0,0,0,0.127479771,19660,9666,11867,0.06863022,9677,11867,7839
240000,2,2,2,38,0,0,0,0.008950894,50254,51445,53015,0.072168784,2000,3000,3000
50000,1,3,2,37,2,2,2,0.012138719,46004,45976,48953,0.290349307,1000,4035,1000
450000,1,1,1,40,1,0,0,0,0,0,0,0,0,0,0
110000,2,1,1,48,1,0,0,0,0,0,0,0,0,0,0
310000,2,2,1,35,2,0,0,0.003571376,304991,311243,306314,0.07121749,13019,11128,8407
20000,1,1,2,27,0,0,0,0.002931992,19115,18962,19298,0.130419995,1404,1130,600
20000,1,2,2,23,1,0,0,0,0,0,0,0,0,0,0
200000,1,3,2,52,0,0,0,0.020431547,110151,99530,98951,0.00158066,3568,3585,3602
180000,1,1,1,36,0,0,0,0.087985956,163736,116422,99278,0.143513237,4655,2690,2067
50000,1,2,1,51,0,0,0,0.049212264,3347,3899,4503,0.046834573,1000,1066,1300
60000,1,3,1,55,3,2,2,0.012328949,60521,61450,57244,0.336543014,2504,7,1200
30000,2,1,2,23,1,0,0,0.08508636,4000,5645,3508,0.308896219,5645,3508,27
240000,1,1,2,41,1,0,0,0.28073082,95,2622,3301,0.294310708,2622,3301,0
420000,1,2,1,34,0,0,0,0.017480534,253454,247743,229049,0.04404554,9744,9553,7603
330000,1,3,1,46,0,0,0,0.001652996,227389,228719,229644,0.003839199,8210,8095,8025
30000,2,2,2,22,0,0,0,0.014785255,28452,26145,26712,0.301858908,2000,1400,0
240000,1,2,1,34,0,0,0,0.041378107,10674,12035,13681,0.292231841,1500,1800,0
150000,1,1,2,27,0,0,0,0.038930025,17444,19342,22000,0.033961781,2500,3000,3000
210000,2,2,1,33,0,0,0,0.033941408,7166,7997,8792,0.072168784,1500,1500,1000
50000,2,3,1,51,0,0,0,0.447112525,752,300,5880,0.535860181,300,5880,0
50000,1,1,2,24,0,0,0,0.004040386,50801,50143,49586,0.134406726,2360,1700,1000
240000,1,1,2,47,1,0,0,0,0,0,0,0,0,0,0
180000,1,2,2,28,0,0,0,0.34432543,1832,0,832,0.294085236,0,416,332
50000,1,2,2,23,1,2,2,0.140620703,10131,10833,20583,0.471730865,1000,10000,400
170000,1,2,2,29,0,0,0,0.03876051,12159,10000,10000,0,10000,10000,10000
20000,1,1,2,29,0,0,0,0.499961028,1199,15586,344,0.453427053,15586,344,2340
50000,1,1,2,28,0,0,0,0.064000512,4999,5913,7315,0.111111111,1000,1500,2000
170000,2,2,2,27,0,0,0,0.013317226,19269,20313,20852,0.20688281,1661,1200,351
200000,1,1,2,34,1,2,0,0.118072175,197236,176192,93069,0.413575208,8000,5000,55500
80000,2,2,1,23,1,2,3,0.023689149,9168,10522,10205,0.577350269,1650,0,0
260000,2,1,1,60,1,0,0,0.676582347,-1100,-1100,21400,0.577350269,0,22500,0
140000,1,2,1,32,0,0,0,0.039267484,86627,78142,68336,0.08702909,3455,3110,5000
80000,1,1,2,25,0,0,0,0.052228236,42444,55744,43476,0.379452528,30000,3000,6000
350000,1,1,2,41,1,0,0,0.337093125,208,2906,1000,0.2692531,2906,1000,630
280000,2,2,1,56,0,0,0,0.07425605,208775,182350,132257,0.073137501,8042,6700,5137
30000,2,3,2,26,0,0,0,0.039266189,9014,10406,11427,0.085846459,1700,1500,1000
140000,1,1,1,34,0,0,0,0.048349716,23944,28049,32073,0.181633841,5000,5000,11885
200000,2,1,2,37,0,0,0,0.028426713,105420,102870,89643,0.041239305,4000,3250,3250
200000,2,3,2,30,0,0,0,0.006514658,196031,196143,189524,0.013179267,7300,7108,7680
210000,1,3,1,45,2,3,4,0.019078689,115785,122904,129847,0.010813828,10478,10478,11078
50000,1,3,1,57,3,2,0,0.014051753,12854,12362,13447,0.389778703,0,1600,500
30000,1,1,2,41,2,2,2,0.020599011,24357,27453,26718,0.310382562,3500,0,2200
50000,1,2,2,27,2,0,0,0.144337567,390,390,780,0.208377603,390,780,216
290000,1,3,1,47,0,0,0,0.238805294,1234,396,396,0.144337567,396,396,792
250000,2,1,1,34,0,0,2,0.017742976,141223,156858,151841,0.393159089,17994,0,5469
60000,2,2,1,46,0,0,0,0.027663057,21148,23803,24908,0.144337567,3000,1500,1500
110000,2,1,2,27,0,0,0,0.005908013,101640,104795,104855,0.102115161,5500,3900,3000
370000,1,1,2,50,0,0,0,0.160650362,6093,15130,8204,0.106499613,15383,8204,15413
100000,1,2,1,27,0,2,2,0.091857517,102349,96847,58824,0.353586504,3166,0,1330
90000,2,2,1,35,0,0,0,0.007707365,72112,73854,75526,0.008238569,3500,3500,3652
50000,2,2,2,22,0,0,0,0.00809275,28040,29092,29366,0.073012317,1510,1442,982
270000,1,2,2,37,0,0,0,0.035467142,37695,33397,30534,0.152752523,5000,2000,3000
300000,2,1,2,30,0,0,0,0.435900587,688,3280,0,0.296796781,3288,0,4340
50000,2,2,2,22,0,0,0,0.094579365,8567,15273,11650,0.516405255,15000,1000,149
50000,2,1,2,24,1,0,0,0,-709,-709,-709,0,0,0,0
360000,1,1,2,29,1,0,0,0.577350269,0,0,77,0.577350269,0,77,0
130000,1,3,1,56,1,2,2,0.006734495,64617,65978,67282,0,3000,3000,3000
80000,1,1,2,30,0,0,0,0.490671383,6187,100,600,0.143476742,504,500,1000
50000,1,2,2,30,1,2,0,0.003653412,48860,47801,48363,0.305505046,0,1500,1000
20000,2,2,2,22,0,0,0,0.043088602,16001,12622,13221,0.140039493,1212,1201,500
80000,2,2,1,29,0,0,2,0.008242482,77883,81811,80250,0.391036656,5800,1000,600
240000,1,1,2,37,0,0,2,0.124119973,12212,26578,25331,0.479089871,15000,0,2000
80000,2,3,2,35,0,0,0,0.270520313,49608,12412,14873,0.218386899,12500,6500,3000
500000,2,1,1,47,0,0,0,0.112516318,56422,110616,110340,0.176405225,70010,30357,30000
60000,2,2,1,24,0,0,0,0.031956665,58024,57891,48839,0.099923928,2500,1600,3000
20000,1,2,2,25,0,0,0,0.03442852,10642,11677,13070,0.147186839,1200,1593,601
100000,2,2,1,38,1,2,0,0.015700399,14483,13961,15323,0.289125369,0,1600,1500
360000,2,1,2,32,1,0,0,0.472469724,2616,57077,5287,0.257319834,57087,5295,68454
200000,2,3,2,47,2,2,2,0.007616626,199436,202947,193936,0.034759727,8214,7000,6800
130000,2,2,1,34,1,0,0,0.327921009,0,5396,10270,0.071972941,5396,5000,3500
20000,2,2,2,31,1,5,4,0.004830247,21703,21087,21461,0.577350269,0,1000,0
310000,1,1,2,32,0,0,0,0.006972226,59901,62147,62102,0.088624374,10020,6031,10057
60000,2,1,2,27,2,0,0,0.016816294,19625,20347,21669,0.065726093,1342,1664,2000
180000,2,1,2,29,0,0,0,0.562539786,11386,199,0,0.577350269,199,0,0
180000,2,1,2,24,0,0,2,0.0701214,14670,22087,21282,0.572806287,37867,0,200
50000,1,2,1,36,0,0,0,0.203131426,47790,18114,18250,0.115470054,2000,1000,2000
50000,2,1,2,24,1,2,2,0.006955586,36166,37188,37680,0.05033223,1900,1400,1700
150000,2,2,1,34,0,0,0,0,0,0,0,0.577350269,0,0,116
20000,2,1,2,22,0,0,0,0.007852562,18553,19446,19065,0.156051404,1500,1032,541
500000,2,1,1,34,0,0,0,0.412973107,412,138,2299,0.293021397,138,2299,1251
30000,2,3,2,22,1,2,2,0.006905125,29010,29256,28122,0.291734242,1000,85,1714
180000,2,1,1,38,0,0,0,0.577350269,750,0,0,0,0,0,0
140000,1,1,2,31,0,0,2,0.073575213,27123,27299,17985,0.487514172,25000,0,3000
140000,2,1,2,26,0,0,0,0.062400548,13424,18000,13001,0.124664491,10000,13001,5841
120000,1,2,2,26,0,0,0,0.009682975,107314,110578,113736,0.034595324,5000,5000,4152
360000,2,2,1,48,0,0,0,0.005754591,226430,231878,234192,0.074426629,9100,7300,5800
20000,1,3,1,43,0,0,0,0.283862013,227,20351,20237,0.488288379,22359,1305,1258
100000,1,1,1,47,0,0,0,0.277527892,390,1473,390,0.277527892,1473,390,390
210000,2,2,1,41,0,0,0,0.273975474,3088,1586,343,0.304133124,1586,343,3763
80000,2,2,2,24,0,0,0,0.004735865,81625,81554,79599,0.075412373,3200,3000,2038
330000,2,1,1,50,0,0,0,0.195189686,8872,4337,2854,0.14887299,4345,2854,1702
220000,1,1,2,24,0,0,0,0.009089375,105607,108917,111520,0.103128605,5000,5050,8303
210000,2,1,1,38,1,0,0,0.577350269,0,0,250,0.577350269,0,250,0
40000,2,3,1,43,0,0,0,0.003672805,38257,38901,38103,0.05720629,1700,1504,1200
30000,1,2,2,39,0,0,0,0.075920189,28347,28108,18388,0.296577732,3036,2309,0
470000,1,2,2,27,2,2,2,0.006247913,296573,303320,307843,0.291663443,13000,11001,0
30000,1,3,1,42,0,0,0,0,390,390,390,0.084904451,390,390,240
240000,2,2,1,36,1,0,0,0,-946,-946,-946,0,0,0,0
80000,1,2,2,36,2,0,0,0.001859334,79278,78501,78534,0.02081666,3100,3500,3400
110000,2,3,0,31,0,0,0,0.021126604,89989,84229,79288,0.083333333,4000,5000,3000
310000,2,1,2,38,0,0,0,0.372561878,1424,4542,126,0.554138637,4542,126,0
360000,2,1,1,40,2,2,2,0.015802232,105167,115468,112157,0.335211049,12000,0,5900
330000,2,3,2,45,0,0,0,0.000286026,335196,334954,335527,0.004181812,12388,12378,12116
300000,2,2,2,35,0,0,0,0.064636593,291619,297268,205629,0.106171529,12019,9006,17000
320000,2,2,2,33,0,0,0,0.031167555,91653,94037,108597,0.269795408,10042,18832,2117
50000,2,3,2,37,1,3,2,0.011395671,52626,51537,49205,0.563767064,0,24,1500
170000,2,1,2,28,0,0,0,0.002981794,130370,131199,128900,0.287348352,6530,4860,22500
350000,1,3,1,44,0,0,0,0.090083628,3265,2686,1864,0.208491992,2686,1864,569
20000,1,2,1,37,0,0,0,0.026931653,16455,16511,18902,0.222978,1609,3000,663
50000,1,2,2,23,2,0,0,0.020755828,49758,48456,44116,0.030141847,2401,2254,2004
20000,2,3,2,24,1,2,0,0.017609637,19154,18165,17233,0.367374039,0,1333,500
50000,2,1,2,24,0,0,0,0.025772407,35084,35796,30937,0.11864105,2090,2002,1002
20000,1,2,2,23,1,2,0,0.034602919,20235,17132,16856,0.292231841,0,1200,1000
50000,1,2,1,26,0,0,0,0.577350269,102800,0,0,0.577350269,0,0,2624
190000,1,2,2,34,2,0,0,0.005877977,129801,131383,134379,0.144337567,5000,5000,10000
60000,2,2,1,33,0,0,0,0.162123804,58203,36367,20934,0.0668587,1506,1298,1000
80000,1,1,2,35,0,0,0,0.109861036,7988,3977,6848,0.204934603,3983,6853,1719
150000,2,2,2,27,0,0,0,0.137524133,127402,110050,51547,0.210563283,4500,1745,1566
210000,2,1,2,31,0,0,0,0.444123064,1440,0,7422,0.487309984,0,7422,893
240000,2,3,1,50,0,0,0,0.015632932,234205,231669,214642,0.038689735,10116,9150,8008
140000,2,2,3,41,0,0,0,0.028539664,19346,21708,22940,0.073566178,3000,2000,2198
60000,2,1,2,28,1,2,2,0.28885158,21501,20650,0,0,0,0,0
50000,1,1,2,39,0,0,0,0.005071609,47174,47974,48630,0.094545596,1800,2000,3000
50000,2,2,2,27,0,0,0,0.012173431,26655,27724,28676,0.113662853,1800,1750,900
180000,2,1,2,32,0,0,2,0.141059045,3139,5853,2821,0.577350269,2821,0,0
30000,2,1,2,40,0,0,2,0.086771658,142,215,139,0.38016374,355,120,0
20000,2,2,2,40,0,0,0,0.004808323,19816,20396,20102,0.054906109,1601,2203,2114
250000,2,2,1,75,0,0,0,0.528409951,52874,1631,1536,0.080081428,1631,1536,1010
100000,2,2,2,27,0,0,0,0.037930589,37767,34457,30036,0.085434219,1788,1799,1100
330000,1,1,2,25,0,0,0,0.009071124,46140,45781,48139,0.110894171,2504,4007,5056
50000,1,3,1,46,0,0,0,0.171621631,35713,15392,16099,0.146286373,1561,1268,587
50000,2,2,2,26,1,2,2,0.009044413,50867,51486,48869,0.263362351,1710,136,1206
30000,1,2,2,28,0,0,0,0.002085771,29242,29507,29155,0.323035196,5006,1244,851
140000,2,2,2,26,0,0,0,0.006459218,101551,105246,104781,0.067328916,5366,5087,3605
160000,2,1,2,28,0,0,0,0.144517785,70243,47779,28052,0.32249612,7042,2000,1000
400000,2,2,2,29,0,0,0,0.398686938,19532,3719,1453,0.18300893,3127,1469,4968
50000,1,2,1,25,0,0,0,0.009596507,27699,28513,29341,0.076348357,1565,1393,980
140000,2,2,1,48,0,0,0,0.060149331,1154,1233,862,0.038325194,1233,1075,1355
160000,2,2,1,33,0,0,0,0.187274091,8015,2453,9624,0.416737631,2453,9880,52572
100000,2,3,1,43,0,0,0,0.577350269,62170,0,0,0,0,0,0
220000,1,1,1,48,2,0,0,0.009650112,210380,213522,201852,0.08332926,10000,9020,6000
510000,2,1,2,29,0,0,0,0.053029425,78331,99414,107686,0.269726255,40010,20094,5000
50000,1,2,2,29,0,0,0,0.077020169,49276,35100,32563,0.145171876,1602,1400,3000
160000,2,1,1,38,0,0,0,0.05389906,4473,4664,5969,0.266894064,4664,5969,18941
230000,2,1,2,37,0,0,0,0.540542336,2283,50815,0,0.577350269,51315,0,0
80000,2,1,2,37,0,0,0,0.303045365,10115,249,5986,0.517411822,258,5995,188
150000,2,2,1,25,0,0,0,0.577350269,6156,0,0,0.577350269,0,0,316
10000,1,3,2,23,0,0,0,0.042735009,6974,7838,9002,0.149107634,1134,1298,478
130000,2,3,2,49,0,0,0,0.041378781,89003,91362,72197,0.14074997,4100,3095,1630
40000,2,1,2,48,0,0,0,0.006107764,34871,34449,33634,0.012284048,1600,1600,1500
50000,1,2,2,27,3,2,2,0.013863249,13694,14880,14242,0.416062133,1700,0,426
100000,1,3,2,32,0,0,0,0.210594637,70003,31545,20974,0.17410512,2035,2004,616
120000,1,1,1,34,0,2,0,0.118415179,1082,632,1350,0.577350269,0,1350,0
260000,2,1,2,58,1,0,0,0,0,0,0,0,0,0,0
200000,2,2,2,33,0,0,0,0.036480696,11253,12852,14024,0.073551951,2000,1322,2000
360000,2,2,2,28,0,0,0,0,0,0,0,0,0,0,0
70000,2,2,2,36,0,0,0,0.001809327,68699,69120,68376,0.247640971,4483,12496,3268
460000,1,1,1,40,2,0,0,0.530690399,171,2715,-13,0.288756984,2728,0,2654
50000,2,1,2,26,0,0,0,0.271238381,1156,316,316,0,316,316,316
50000,1,3,1,33,0,0,0,0.001306369,50859,50462,50654,0.167623359,2007,2199,691
250000,2,2,1,31,0,0,0,0.010981792,103109,102594,97109,0.037037037,4000,4500,5000
30000,2,1,2,27,0,0,0,0.193665517,1512,2458,664,0.132955903,1000,664,1500
270000,1,2,1,44,0,0,0,0.053024298,127543,109189,92630,0.112513884,10063,5162,10150
180000,2,3,2,30,0,0,0,0.018439293,163935,153152,147032,0.120600819,7722,6091,3563
100000,2,1,2,28,0,0,0,0.003154449,53494,52656,52600,0.116929754,4173,3000,2025
230000,2,3,1,32,0,0,0,0.160739644,195126,88743,92195,0,5000,5000,5000
210000,2,1,1,46,0,0,0,0.26621848,110346,41986,21874,0.144919618,41986,21874,20076
210000,1,1,2,38,2,0,0,0.007088931,60502,62804,62769,0.099878015,3276,2026,2000
440000,2,2,1,46,0,0,0,0.035133181,180641,181557,149944,0.128790812,8610,6907,3727
100000,2,2,2,25,2,0,0,0.003650729,70896,71678,70125,0.109014483,3472,2092,2000
240000,2,2,1,46,0,0,0,0.031987247,8751,9900,10605,0.051689933,1295,1000,1000
280000,1,1,2,33,0,0,0,0.155974401,898,898,325,0.155974401,898,325,898
50000,2,2,2,22,1,0,0,0,0,0,0,0,0,0,0
30000,1,2,1,43,3,2,2,0.076445964,1700,2610,1914,0.40616005,1100,0,300
10000,1,2,2,27,0,0,2,0.063242848,7015,10227,9560,0.473415417,3507,0,500
130000,1,1,2,29,1,0,0,0,0,0,0,0,0,0,0
200000,1,1,2,31,0,0,0,0.009890384,194353,197344,186292,0.102503274,9000,7465,4715
120000,2,2,1,29,0,0,0,0.17173173,1686,657,2179,0.1890991,657,2319,1423
210000,2,2,1,36,0,0,0,0.001769028,143225,142996,144415,0.04051616,6483,5082,6000
280000,2,1,1,36,0,0,0,0.011633217,58983,60788,63225,0.146686451,2755,3463,1300
300000,1,1,2,34,1,0,0,0.577350269,0,0,13001,0.577350269,0,13001,0
100000,1,2,2,37,0,0,0,0.068819839,99209,98222,67185,0.082820535,3490,2332,2314
440000,2,1,2,36,0,0,0,0,0,0,0,0,0,0,0
50000,2,3,1,40,0,0,0,0.196202478,49941,51213,12104,0.164106358,2400,1206,1000
20000,2,1,2,25,0,0,2,0.156432474,11968,14564,27820,0.301858908,2800,0,4000
200000,2,1,2,27,0,0,0,0.060624017,871,665,960,0.324103408,665,960,3908
110000,2,2,2,26,0,0,0,0.281900427,432,3220,5704,0.323986445,3220,5904,0
